Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100n,
C10,0402,1,100n,
C11,0402,1,100n,
C2,0402,1,100n,
C25,0805,1,4u7,
C26,0402,1,100n,
C27,0805,1,4u7,
C28,0402,1,100n,
C3,0402,1,100n,
C4,0402,1,100n,
C5,0402,1,100n,
C6,0402,1,12p,
C7,0402,1,12p,
C8,0402,1,100n,
C9,0402,1,100n,
"D1, D2, D3",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,C383211
"JP1, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
"JP16, JP17, JP18, JP19, JP2, JP20, JP21, JP22, JP3, JP30, JP34, JP5, JP6, JP7",SolderJumper_Small-3_bridged12,14,SolderJumper_3_Bridged12,
"JP23, JP4",SolderJumper_Small-4_bridged14,2,SolderJumper_3_Bridged12,
LED1,LED0603-FD_BLUE,1,19-217/BHC-ZL1M2RY/3T,
Q3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
R1,0402,1,100k,
R10,0402,1,1k,
R11,0603,1,330R,
R12,0402,1,3k3,
R13,0402,1,100k,
R19,0402,1,10k,
R2,0402,1,3k3,
R25,0402,1,3k3,
R29,0603,1,0R,
R3,0603,1,0R,
R30,0603,1,0R,
R31,0603,1,0R,
R32,0603,1,0R,
R4,0603,1,330R,
R5,0603,1,330R,
R6,0402,1,10k,
R7,0402,1,10k,
R8,0603,1,330R,
R9,0402,1,1k,
SW1,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.5-BL,1,K2-1102SP-C4SC-04,
U1,VQFN-44_L7.0-W7.0-P0.50-BL-EP5.2,1,ATMEGA32U4-MU,
U2,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,1,ATMEGA328PB-AUR,
U5,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C86781
USBC1,USB-C-SMD_TYPE-C-USB-17,1,USB3.1C16PFSMT,C167321
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,M16000E067,
