Designator,Mid X,Mid Y,Rotation,Layer
C1,114.7,-124.5,180.0,top
C10,120.1,-103.6,0.0,top
C11,122.8,-111.7,90.0,top
C2,127.8,-126.5,90.0,top
C3,115.2,-126.5,270.0,top
C4,116.0,-116.2,0.0,top
C5,116.7,-118.65,90.0,top
C6,119.8,-116.15,180.0,top
C7,112.2,-109.1,90.0,top
C8,116.5,-114.2,0.0,top
C9,114.9,-103.6,180.0,top
D1,103.6,-118.3,0.0,top
D2,106.7,-118.3,180.0,top
J1,115.53,-157.4425,0.0,top
LED1,128.6,-109.5,0.0,top
R1,111.88,-137.49,270.0,top
R10,133.5,-121.7,270.0,top
R11,120.9,-137.5,270.0,top
R12,122.4,-137.5,90.0,top
R13,119.4,-137.5,270.0,top
R14,123.9,-137.505,90.0,top
R15,114.0,-150.325,270.0,top
R16,115.5,-150.325,270.0,top
R17,110.81,-144.19,0.0,top
R18,110.8,-145.7,0.0,top
R19,132.275,-149.585,0.0,top
R2,113.38,-137.49,270.0,top
R20,132.275,-148.085,0.0,top
R21,117.88,-137.5,270.0,top
R22,114.88,-137.5,270.0,top
R23,116.36,-137.5,270.0,top
R24,110.81,-141.17,0.0,top
R25,110.8,-139.7,0.0,top
R26,110.81,-142.68,0.0,top
R27,129.87,-137.51,270.0,top
R28,123.11,-117.8,90.0,top
R29,124.1,-117.8,90.0,top
R3,125.4,-137.51,270.0,top
R30,128.37,-137.51,270.0,top
R31,132.275,-146.585,180.0,top
R32,132.275,-145.085,180.0,top
R33,110.9,-150.3,270.0,top
R34,112.4,-150.3,270.0,top
R35,106.4,-140.2,0.0,top
R36,126.0,-109.5,0.0,top
R37,104.4,-115.0,90.0,top
R38,105.9,-115.0,90.0,top
R39,116.0,-115.2,0.0,top
R4,126.87,-137.51,270.0,top
R40,125.8,-113.7,90.0,top
R41,109.8,-118.1,90.0,top
R42,112.8,-118.1,90.0,top
R43,111.3,-118.1,90.0,top
R44,123.4,-108.0,90.0,top
R45,124.6,-113.7,90.0,top
R46,125.5,-105.1,180.0,top
R5,132.275,-142.1,180.0,top
R6,132.275,-143.6,180.0,top
R7,131.37,-137.51,270.0,top
R8,133.5,-124.7,90.0,top
R9,132.885,-137.52,270.0,top
SW1,104.7,-146.5,180.0,top
U1,121.4,-126.5,90.0,top
U2,117.5,-109.0,270.0,top
X1,119.6,-118.7,180.0,top
